symbol	Gcn1_SCR_0pt5mM_A	Gcn1_SCR_0pt5mM_B	Gcn1_SH2_0pt5mM_A	Gcn1_SH2_0pt5mM_B
ENSMUSG00000062040.14|Zfp27	258	305	250	267
ENSMUSG00000062044.16|Lmtk3	164	251	164	206
ENSMUSG00000062054.7|Iah1	2414	2529	2452	2347
ENSMUSG00000062070.12|Pgk1	22949	23681	26329	30631
ENSMUSG00000062075.13|Lmnb2	473	544	574	674
ENSMUSG00000062078.15|Qk	7025	7942	6580	6598
ENSMUSG00000062083.1|Rpl13a-ps1	82	67	58	74
ENSMUSG00000062093.5|Gm10110	105	130	99	91
ENSMUSG00000062098.11|Btbd3	835	938	662	803
ENSMUSG00000062101.12|Zfp119b	250	282	222	274
ENSMUSG00000062110.14|Scfd2	233	227	218	265
ENSMUSG00000062115.15|Rai1	2012	2256	2195	2361
ENSMUSG00000062116.10|Zfp954	89	119	104	90
ENSMUSG00000062127.11|Cttnbp2nl	2126	2302	1505	1580
ENSMUSG00000062157.6|Ifnlr1	266	284	298	289
ENSMUSG00000062168.12|Ppef1	95	102	150	137
ENSMUSG00000062169.13|Cnih4	2434	2815	2082	2243
ENSMUSG00000062175.13|Tgif2	303	347	402	416
ENSMUSG00000062184.11|Hs6st2	34	55	67	72
ENSMUSG00000062190.12|Lancl2	556	665	657	688
ENSMUSG00000062198.5|2700097O09Rik	276	324	217	264
ENSMUSG00000062202.14|Btbd9	1658	1686	1560	1653
ENSMUSG00000062203.15|Gspt1	4340	5025	4753	5112
ENSMUSG00000062210.13|Tnfaip8	291	296	419	535
ENSMUSG00000062232.14|Rapgef2	2705	2926	2054	1946
ENSMUSG00000062234.14|Gak	4870	5105	3646	4093
ENSMUSG00000062248.5|Cks2	866	1017	940	1027
ENSMUSG00000062270.14|Morf4l1	6480	6924	5804	6039
ENSMUSG00000062284.5|Gm6030	55	58	27	23
ENSMUSG00000062300.14|Nectin2	1549	1535	2014	2412
ENSMUSG00000062309.8|Rpp25	22	34	35	51
ENSMUSG00000062310.7|Glrp1	1335	1600	1034	1021
ENSMUSG00000062312.5|Erbb2	1318	1320	1850	2120
ENSMUSG00000062328.8|Rpl17	17318	18134	14580	16457
ENSMUSG00000062352.14|Itgb1bp1	764	827	664	716
ENSMUSG00000062353.6|Gm15772	869	964	355	378
ENSMUSG00000062365.4|Gm4968	61	40	28	40
ENSMUSG00000062373.8|Tmem65	1834	2181	1733	1736
ENSMUSG00000062376.7|Borcs7	79	106	67	112
ENSMUSG00000062380.4|Tubb3	700	543	1034	1150
ENSMUSG00000062382.9|Ftl1-ps1	1301	1300	885	916
ENSMUSG00000062397.8|Zfp706	6012	7222	7464	8209
ENSMUSG00000062421.13|Arf2	1118	1102	1101	1145
ENSMUSG00000062456.4|Rpl9-ps6	269	322	315	436
ENSMUSG00000062458.5|Gm8623	122	120	144	119
ENSMUSG00000062461.7|Gm5453	68	93	76	62
ENSMUSG00000062470.10|Fbxl12os	27	44	18	22
ENSMUSG00000062480.12|Acat3	60	55	126	181
ENSMUSG00000062510.12|Nsl1	486	519	488	513
ENSMUSG00000062519.13|Zfp398	277	281	284	341
ENSMUSG00000062526.4|Mppe1	467	590	573	724
ENSMUSG00000062580.9|Timm17a	1633	1818	1658	1790
ENSMUSG00000062590.13|Armc9	180	200	211	201
ENSMUSG00000062591.5|Tubb4a	85	65	32	37
ENSMUSG00000062604.11|Srpk2	1581	1908	1143	1195
ENSMUSG00000062611.4|Rps3a2	4118	4594	4472	4992
ENSMUSG00000062619.6|2310039H08Rik	148	218	205	182
ENSMUSG00000062627.9|Mysm1	867	1128	716	755
ENSMUSG00000062646.12|Ganc	141	176	151	207
ENSMUSG00000062647.16|Rpl7a	16796	17458	21059	23124
ENSMUSG00000062661.6|Ncs1	1267	1388	924	920
ENSMUSG00000062683.11|Atp5g2	3480	3321	3422	3982
ENSMUSG00000062691.10|Cebpzos	399	467	369	365
ENSMUSG00000062713.8|Sim2	59	80	34	43
ENSMUSG00000062729.11|Ppox	834	915	805	933
ENSMUSG00000062742.4|Gm5239	145	129	105	106
ENSMUSG00000062743.9|Zfp677	144	202	121	146
ENSMUSG00000062753.14|AI413582	393	517	490	530
ENSMUSG00000062761.7|Zfp512	954	1145	913	1010
ENSMUSG00000062762.16|Ei24	985	1107	886	1017
ENSMUSG00000062785.14|Kcnc3	55	59	20	24
ENSMUSG00000062794.8|Zfp599	252	311	279	299
ENSMUSG00000062797.13|Hikeshi	581	691	473	596
ENSMUSG00000062822.8|4833420G17Rik	980	1275	814	974
ENSMUSG00000062825.15|Actg1	33052	35151	37887	42266
ENSMUSG00000062846.7|Gm14176	47	63	52	30
ENSMUSG00000062861.8|Zfp28	188	245	154	168
ENSMUSG00000062867.13|Impdh2	6492	6891	7424	7863
ENSMUSG00000062896.3|Rpl31-ps11	72	58	56	63
ENSMUSG00000062901.3|Klhl24	1156	1238	1249	1462
ENSMUSG00000062906.12|Hdac10	283	286	259	377
ENSMUSG00000062908.12|Acadm	1155	1311	1292	1541
ENSMUSG00000062929.8|Cfl2	3776	4574	3181	3591
ENSMUSG00000062931.15|Zfp938	347	396	299	321
ENSMUSG00000062933.7|Gm10123	731	711	847	981
ENSMUSG00000062937.7|Mtap	5323	5991	5176	5337
ENSMUSG00000062944.4|9130023H24Rik	130	134	102	120
ENSMUSG00000062949.13|Atp11c	394	493	322	381
ENSMUSG00000062963.10|Ufc1	1281	1353	1286	1376
ENSMUSG00000062981.5|Mrpl42	881	944	851	989
ENSMUSG00000062991.7|Nrg1	911	1015	814	744
ENSMUSG00000062995.12|Ica1	1040	1145	973	1160
ENSMUSG00000062997.6|Rpl35	11385	13023	11917	12895
ENSMUSG00000063011.7|Msln	29447	31514	12692	14167
ENSMUSG00000063015.12|Ccni	1563	1849	1217	1748
ENSMUSG00000063018.6|2010204K13Rik	127	134	150	163
ENSMUSG00000063019.5|Manbal	724	794	690	779
ENSMUSG00000063047.9|Zfp780b	243	238	197	228
ENSMUSG00000063049.4|Ing2	356	383	280	304
ENSMUSG00000063052.9|Lrrc40	1690	1865	1467	1697
ENSMUSG00000063065.13|Mapk3	4200	4178	4185	4747
ENSMUSG00000063077.14|Kif1b	2573	2946	2418	2533
ENSMUSG00000063108.15|Zfp26	1114	1358	870	923
ENSMUSG00000063145.10|Bbs5	179	187	166	174
ENSMUSG00000063146.11|Clip2	711	726	403	430
ENSMUSG00000063160.12|Numbl	200	240	150	202
ENSMUSG00000063172.13|Hspb11	258	269	203	220
ENSMUSG00000063179.13|Pstk	193	288	141	184
ENSMUSG00000063200.4|Nol7	1555	1786	1418	1621
ENSMUSG00000063229.15|Ldha	17275	17592	16243	20078
ENSMUSG00000063235.16|Ptpmt1	537	654	541	574
ENSMUSG00000063236.6|1110038F14Rik	402	429	494	499
ENSMUSG00000063253.11|Scoc	1006	1303	946	1160
ENSMUSG00000063268.12|Parp10	605	606	765	774
ENSMUSG00000063273.11|Naa15	5986	7219	5803	5814
ENSMUSG00000063275.15|Hacd1	373	490	406	464
ENSMUSG00000063281.9|Zfp35	796	863	849	868
ENSMUSG00000063286.7|Gm8995	31	32	1	1
ENSMUSG00000063296.5|Tmem117	165	232	81	111
ENSMUSG00000063314.5|Gm12657	29	35	29	30
ENSMUSG00000063316.13|Rpl27	9037	9396	9725	10808
ENSMUSG00000063317.7|Usp31	1501	1681	1843	1783
ENSMUSG00000063320.11|1190007I07Rik	101	98	102	79
ENSMUSG00000063328.6|Gm9396	432	386	379	371
ENSMUSG00000063334.16|Krr1	1937	2251	2380	2512
ENSMUSG00000063354.7|Slc39a4	5060	4576	7050	7370
ENSMUSG00000063358.17|Mapk1	4579	5174	3814	4192
ENSMUSG00000063362.13|Alg11	922	1008	736	769
ENSMUSG00000063382.6|Bcl9l	1345	1334	2039	2260
ENSMUSG00000063383.5|Zfp947	120	130	67	80
ENSMUSG00000063406.11|Tmed5	3268	4220	3313	3402
ENSMUSG00000063410.8|Stk24	4027	4520	3563	3846
ENSMUSG00000063412.4|Gm10131	155	133	170	225
ENSMUSG00000063415.12|Cyp26b1	84	72	59	64
ENSMUSG00000063439.7|B9d2	157	159	272	309
ENSMUSG00000063445.14|Nmral1	105	85	128	149
ENSMUSG00000063450.14|Syne2	1498	1712	1745	1901
ENSMUSG00000063455.16|D630045J12Rik	450	444	470	455
ENSMUSG00000063457.14|Rps15	10723	10125	11102	12529
ENSMUSG00000063458.13|Lrmda	75	58	28	28
ENSMUSG00000063480.8|Snu13	3552	4001	4181	4328
ENSMUSG00000063488.6|Zkscan7	131	172	100	106
ENSMUSG00000063506.14|Arhgap22	972	1062	538	633
ENSMUSG00000063511.11|Snrnp70	5634	6948	5751	5935
ENSMUSG00000063514.3|Gm6756	24	28	36	18
ENSMUSG00000063524.13|Eno1	29523	28001	27700	32714
ENSMUSG00000063531.7|Sema3e	6893	7643	6860	6376
ENSMUSG00000063550.8|Nup98	2828	3008	2889	3039
ENSMUSG00000063556.5|Gm10132	115	172	185	226
ENSMUSG00000063558.4|Aox1	305	349	172	239
ENSMUSG00000063576.12|Klhdc3	2011	2187	1746	1910
ENSMUSG00000063586.1|Gm5513	59	59	75	66
ENSMUSG00000063605.5|Ccdc102a	318	383	233	240
ENSMUSG00000063628.2|Gm7665	28	34	55	80
ENSMUSG00000063652.10|Slc22a21	30	37	28	45
ENSMUSG00000063659.11|Zbtb18	4457	4650	2931	3100
ENSMUSG00000063663.11|Brwd3	325	354	445	494
ENSMUSG00000063683.12|Glyat	4	6	25	45
ENSMUSG00000063684.9|Gm13910	19	28	30	32
ENSMUSG00000063687.3|Pcdhb5	30	42	26	29
ENSMUSG00000063694.5|Cycs	5451	5788	6962	7066
ENSMUSG00000063696.7|Gm8730	1860	1786	624	720
ENSMUSG00000063698.9|Sfxn4	77	79	80	80
ENSMUSG00000063704.13|Mapk15	33	28	11	11
ENSMUSG00000063714.15|Sp3os	51	63	36	47
ENSMUSG00000063727.3|Tnfrsf11b	214	189	555	646
ENSMUSG00000063754.7|Gm10136	70	71	68	100
ENSMUSG00000063760.9|Rnf217	872	1076	693	776
ENSMUSG00000063767.4|S100a7a	770	809	717	664
ENSMUSG00000063779.6|Chil4	0	5	27	28
ENSMUSG00000063785.12|Utp14a	941	1017	947	980
ENSMUSG00000063787.4|Chchd1	856	983	738	750
ENSMUSG00000063800.5|Prpf38a	513	518	758	773
ENSMUSG00000063801.7|Ap3s2	1292	1371	1672	1727
ENSMUSG00000063802.5|Hspbp1	446	474	516	576
ENSMUSG00000063808.14|Gpatch1	334	392	289	306
ENSMUSG00000063810.7|Alms1	452	449	542	503
ENSMUSG00000063838.6|Cdc42ep5	591	640	467	499
ENSMUSG00000063849.6|Ppcdc	806	813	613	711
ENSMUSG00000063851.12|Rnf183	34	33	21	38
ENSMUSG00000063856.7|Gpx1	4774	5620	3822	4188
ENSMUSG00000063870.12|Chd4	11044	11849	12635	13417
ENSMUSG00000063875.6|Rps6-ps1	129	171	105	113
ENSMUSG00000063882.12|Uqcrh	1563	1571	2547	2842
ENSMUSG00000063884.6|Ptcd3	3275	3745	3326	3683
ENSMUSG00000063888.7|Rpl7l1	5152	5505	7907	7988
ENSMUSG00000063889.16|Crem	134	172	110	139
ENSMUSG00000063894.15|Zkscan8	943	1073	1045	1112
ENSMUSG00000063902.13|Gm7964	969	1206	1281	1291
ENSMUSG00000063904.4|Dpp3	1645	1594	1944	2275
ENSMUSG00000063931.14|Pepd	635	639	661	752
ENSMUSG00000063952.16|Brpf3	1856	2034	1794	1762
ENSMUSG00000063953.3|Amd2	83	89	53	71
ENSMUSG00000063972.13|Nr6a1	282	341	303	292
ENSMUSG00000063975.13|Slco1a5	46	26	217	283
ENSMUSG00000064030.15|Pym1	291	274	307	346
ENSMUSG00000064037.13|Gpn1	860	929	745	852
ENSMUSG00000064043.13|Trerf1	694	696	569	669
ENSMUSG00000064061.13|Dzip3	1090	1383	925	1104
ENSMUSG00000064068.14|Mtx1	660	615	559	658
ENSMUSG00000064080.12|Fbln2	10730	10792	3905	4454
ENSMUSG00000064090.14|Vrk2	143	146	99	128
ENSMUSG00000064105.13|Cnnm2	183	224	197	204
ENSMUSG00000064120.14|Mocs1	572	570	493	618
ENSMUSG00000064127.13|Med14	1479	1684	1681	1764
ENSMUSG00000064128.8|Cenpj	247	254	197	235
ENSMUSG00000064138.14|Fam172a	276	377	228	244
ENSMUSG00000064145.12|Arih2	2118	2429	1408	1469
ENSMUSG00000064181.6|Rab3ip	613	736	574	658
ENSMUSG00000064193.8|Gm4735	705	705	428	553
ENSMUSG00000064208.6|Gm10145	23	37	26	29
ENSMUSG00000064210.7|Ano6	4846	5326	5280	5947
ENSMUSG00000064215.13|Ifi27	620	664	285	278
ENSMUSG00000064231.1|Gm5321	36	68	37	38
ENSMUSG00000064246.10|Chil1	61	39	167	213
ENSMUSG00000064254.6|Ethe1	268	275	153	228
ENSMUSG00000064262.7|Gimap8	8	7	50	57
ENSMUSG00000064264.14|Zfp428	266	309	246	263
ENSMUSG00000064281.7|Rpl19-ps1	152	187	170	119
ENSMUSG00000064284.12|Cdpf1	294	287	207	278
ENSMUSG00000064289.15|Tank	973	1193	946	1025
ENSMUSG00000064302.13|Clasp1	1317	1429	1198	1293
ENSMUSG00000064307.13|Lrrc51	49	56	25	27
ENSMUSG00000064325.4|Hhip	61	73	0	0
ENSMUSG00000064326.13|Siva1	908	1011	880	893
ENSMUSG00000064337.1|mt-Rnr1	4296	5842	3841	4451
ENSMUSG00000064339.1|mt-Rnr2	6576	8544	5304	5685
ENSMUSG00000064341.1|mt-Nd1	62274	80270	52196	60443
ENSMUSG00000064345.1|mt-Nd2	46248	59895	38444	43399
ENSMUSG00000064351.1|mt-Co1	259121	317371	255244	281698
ENSMUSG00000064354.1|mt-Co2	66748	85531	67651	62535
ENSMUSG00000064356.3|mt-Atp8	20754	20079	17792	21018
ENSMUSG00000064357.1|mt-Atp6	45028	62013	47320	40140
ENSMUSG00000064358.1|mt-Co3	70865	85282	66410	69192
ENSMUSG00000064360.1|mt-Nd3	8748	8978	6866	7579
ENSMUSG00000064363.1|mt-Nd4	66079	89584	60246	63337
ENSMUSG00000064367.1|mt-Nd5	70829	91030	58578	62461
ENSMUSG00000064368.1|mt-Nd6	834	1027	553	633
ENSMUSG00000064370.1|mt-Cytb	105269	126576	102174	113586
ENSMUSG00000064373.12|Selenop	7868	8786	9918	13124
ENSMUSG00000065037.1|Rn7sk	36	32	19	33
ENSMUSG00000065947.3|mt-Nd4l	4960	5737	4117	3210
ENSMUSG00000065954.11|Tacc1	216	213	98	114
ENSMUSG00000065979.12|Cpped1	199	193	143	129
ENSMUSG00000065990.12|Aurkaip1	957	914	1029	1106
ENSMUSG00000065999.13|Zfp985	46	91	11	14
ENSMUSG00000066000.12|Zfp979	79	93	2	9
ENSMUSG00000066026.14|Dhrs3	1513	1426	2392	2684
ENSMUSG00000066036.14|Ubr4	8112	7973	7635	7598
ENSMUSG00000066037.14|Hnrnpr	2150	2514	2027	2575
ENSMUSG00000066042.4|Med18	129	137	148	160
ENSMUSG00000066043.13|Phactr4	1254	1371	1296	1341
ENSMUSG00000066057.7|Gm1976	59	61	52	61
ENSMUSG00000066068.5|Gm13611	34	50	45	24
ENSMUSG00000066071.6|Cyp4a12a	27	34	247	306
ENSMUSG00000066108.7|Muc5b	324	327	679	856
ENSMUSG00000066116.3|Gm10154	62	76	72	66
ENSMUSG00000066148.3|Prpf4	961	991	868	912
ENSMUSG00000066149.11|Cdc26	571	648	574	671
ENSMUSG00000066150.12|Slc31a1	1024	1203	1000	1124
ENSMUSG00000066151.11|Fkbp15	573	614	621	676
ENSMUSG00000066152.11|Slc31a2	156	178	103	114
ENSMUSG00000066170.7|E230001N04Rik	48	64	32	38
ENSMUSG00000066191.12|Anks6	132	157	124	158
ENSMUSG00000066232.4|Ipo7	12049	14306	12061	12399
ENSMUSG00000066233.6|Tmem42	30	30	36	56
ENSMUSG00000066235.7|Pomgnt2	65	76	70	71
ENSMUSG00000066245.5|Gm10156	28	26	23	28
ENSMUSG00000066258.13|Trim12a	50	48	31	39
ENSMUSG00000066270.3|Gm10157	108	171	126	126
ENSMUSG00000066278.6|Vps37b	1495	1756	1201	1230
ENSMUSG00000066306.13|Numa1	3156	3166	3055	3396
ENSMUSG00000066315.9|Gm12918	171	164	139	148
ENSMUSG00000066324.2|Impad1	2088	2477	2064	2426
ENSMUSG00000066357.6|Wdr6	1111	1014	1039	1172
ENSMUSG00000066362.5|Rps13-ps1	244	239	226	234
ENSMUSG00000066406.15|Akap13	1287	1412	2031	2249
ENSMUSG00000066407.3|Gm10263	154	119	134	185
ENSMUSG00000066415.4|Msl2	2307	2661	2387	2514
ENSMUSG00000066440.5|Zfyve26	1038	1139	957	1068
ENSMUSG00000066441.14|Rdh11	858	988	1075	1235
ENSMUSG00000066442.17|Mthfs	88	117	79	102
ENSMUSG00000066443.5|Gm10163	253	376	189	135
ENSMUSG00000066456.14|Hmgn3	96	99	74	89
ENSMUSG00000066487.3|Gm5786	531	534	438	401
ENSMUSG00000066538.5|Gm6254	112	133	115	106
ENSMUSG00000066551.12|Hmgb1	8821	9797	11338	11956
ENSMUSG00000066554.6|Gm10167	54	69	64	93
ENSMUSG00000066568.12|Lsm14a	3340	3724	3021	3211
ENSMUSG00000066571.13|4931406P16Rik	1441	1668	1454	1470
ENSMUSG00000066592.3|Gm7589	111	150	132	130
ENSMUSG00000066595.9|Flvcr1	528	622	578	615
ENSMUSG00000066607.5|Insyn1	47	61	9	13
ENSMUSG00000066613.14|Zfp932	422	545	372	415
ENSMUSG00000066621.12|Tecpr1	2009	2242	1015	1195
ENSMUSG00000066629.2|Rpl36-ps3	47	46	55	43
ENSMUSG00000066632.3|Pgk1-rs7	0	403	472	452
ENSMUSG00000066637.2|Ttc32	241	302	244	269
ENSMUSG00000066640.11|Fbxl18	614	680	525	544
ENSMUSG00000066643.12|Wdr35	450	534	450	543
ENSMUSG00000066647.7|Gm5113	100	138	85	104
ENSMUSG00000066682.11|Pilrb2	399	413	520	531
ENSMUSG00000066684.10|Pilrb1	608	629	704	776
ENSMUSG00000066724.3|Gm10175	109	100	131	166
ENSMUSG00000066735.8|Vkorc1l1	1543	1803	1517	1646
ENSMUSG00000066755.2|Tnfsf18	97	84	97	112
ENSMUSG00000066798.3|Zbtb6	884	1090	834	981
ENSMUSG00000066800.11|Rnasel	515	566	607	721
ENSMUSG00000066829.7|Zfp810	259	322	153	182
ENSMUSG00000066838.7|Zfp772	75	101	63	95
ENSMUSG00000066839.12|Ecsit	470	474	435	485
ENSMUSG00000066861.14|Oas1g	35	30	15	10
ENSMUSG00000066877.11|Nck2	1074	1389	1009	1161
ENSMUSG00000066878.5|Gm10184	166	200	103	161
ENSMUSG00000066880.15|Zfp617	1051	1288	1119	1089
ENSMUSG00000066892.14|Fbxl12	358	404	341	325
ENSMUSG00000066894.14|Vsig10	379	394	357	386
ENSMUSG00000066900.11|Suds3	1296	1441	1224	1325
ENSMUSG00000066902.7|Rps23-ps2	83	125	70	64
ENSMUSG00000066952.11|Myo1h	103	87	39	53
ENSMUSG00000066979.6|Bub3	2133	2283	2363	2609
ENSMUSG00000067006.12|Serpinb5	101	131	123	147
ENSMUSG00000067017.5|Gm3608	167	165	111	164
ENSMUSG00000067038.5|Rps12-ps3	629	619	507	649
ENSMUSG00000067058.7|Rps15a-ps5	57	111	40	86
ENSMUSG00000067071.8|Hes6	309	369	262	341
ENSMUSG00000067121.2|Gm7027	37	37	40	39
ENSMUSG00000067148.15|Polr1c	1883	1852	1852	2135
ENSMUSG00000067150.6|Xpo5	6157	6307	6830	7111
ENSMUSG00000067161.6|Gm5560	60	88	93	76
ENSMUSG00000067194.6|Eif1ax	2992	3598	2723	3101
ENSMUSG00000067199.4|Frat1	106	105	119	129
ENSMUSG00000067203.8|H2-K2	41	61	41	65
ENSMUSG00000067206.3|Lrrc66	267	271	120	150
ENSMUSG00000067212.8|H2-T23	1213	1253	1340	1544
ENSMUSG00000067219.9|Nipal1	818	924	288	343
ENSMUSG00000067231.4|Cyp2c65	115	145	624	846
ENSMUSG00000067235.14|H2-Q10	51	52	17	16
ENSMUSG00000067274.10|Rplp0	62825	63194	50330	56372
ENSMUSG00000067288.13|Rps28	11451	10159	9354	10541
ENSMUSG00000067336.6|Bmpr2	2537	2895	2036	2124
ENSMUSG00000067344.7|Rps25-ps1	64	64	51	67
ENSMUSG00000067365.10|Tmem128	807	872	629	687
ENSMUSG00000067367.9|Lyar	1698	2021	1814	1982
ENSMUSG00000067369.12|Trmt2b	314	359	379	460
ENSMUSG00000067370.4|B3galt4	96	126	110	147
ENSMUSG00000067424.13|Zfp563	236	291	225	204
ENSMUSG00000067430.7|Zfp763	195	218	109	142
ENSMUSG00000067547.6|Gm7666	29	40	57	72
ENSMUSG00000067567.12|Hdac8	339	358	351	398
ENSMUSG00000067575.5|Rpl35a-ps3	93	82	52	70
ENSMUSG00000067608.5|Pcna-ps2	90	144	100	119
ENSMUSG00000067629.13|Syngap1	373	384	262	278
ENSMUSG00000067653.12|Ankrd23	82	79	61	110
ENSMUSG00000067713.7|Prkag1	1446	1521	1328	1440
ENSMUSG00000067722.4|BC003965	997	1218	1001	1078
ENSMUSG00000067724.5|Gbx1	45	58	30	36
ENSMUSG00000067736.2|Gm10222	5134	6222	4823	5781
ENSMUSG00000067787.10|Blcap	1288	1262	1047	1038
ENSMUSG00000067813.3|Xkr9	33	37	30	40
ENSMUSG00000067825.11|Pex26	532	479	692	790
ENSMUSG00000067847.13|Romo1	423	511	496	510
ENSMUSG00000067851.11|Arfgef1	5749	6486	5802	6115
ENSMUSG00000067869.4|Tcea1-ps1	93	125	65	67
ENSMUSG00000067870.5|Rpl31-ps8	136	145	153	182
ENSMUSG00000067873.11|Htatsf1	880	1016	987	1127
ENSMUSG00000067928.6|Zfp760	430	519	215	241
ENSMUSG00000067931.6|Zfp948	1731	2060	1255	1356
ENSMUSG00000067942.6|Zfp160	544	718	463	522
ENSMUSG00000067995.4|Gtf2f2	641	719	651	717
ENSMUSG00000068011.4|Mkrn2os	61	59	48	66
ENSMUSG00000068014.5|Gm14648	39	42	51	62
ENSMUSG00000068015.8|Lrch1	248	296	152	177
ENSMUSG00000068036.15|Afdn	7134	7826	6097	6483
ENSMUSG00000068039.13|Tcp1	14447	16133	11631	13125
ENSMUSG00000068040.10|Tm9sf4	2969	3059	3142	3228
ENSMUSG00000068101.11|Cenpm	132	140	143	167
ENSMUSG00000068114.7|Ccdc134	340	368	602	583
ENSMUSG00000068115.13|Ninl	413	440	376	441
ENSMUSG00000068130.11|Zfp442	93	146	70	82
ENSMUSG00000068134.13|Zfp120	346	393	296	352
ENSMUSG00000068141.5|Gm10232	41	38	52	57
ENSMUSG00000068184.7|Ndufaf2	373	402	352	356
ENSMUSG00000068196.5|Col8a1	675	648	151	154
ENSMUSG00000068200.6|Gm5931	42	47	27	57
ENSMUSG00000068205.14|Macrod2	280	320	245	283
ENSMUSG00000068206.13|Pick1	1182	1271	1176	1321
ENSMUSG00000068220.6|Lgals1	23184	22117	21645	25045
ENSMUSG00000068231.5|Vmn1r43	84	135	61	78
ENSMUSG00000068240.5|Gm11808	326	313	243	418
ENSMUSG00000068246.6|Apol9b	202	204	141	144
ENSMUSG00000068250.13|Amn1	463	596	476	476
ENSMUSG00000068262.4|Gm5879	176	153	139	147
ENSMUSG00000068264.11|Ap5s1	196	216	264	222
ENSMUSG00000068267.5|Cenpb	2567	2656	2163	2470
ENSMUSG00000068270.15|Shroom4	52	48	1	0
ENSMUSG00000068284.14|Usf3	1311	1432	1143	1163
ENSMUSG00000068290.11|Ddrgk1	1096	1227	1228	1345
ENSMUSG00000068299.11|Nat8f4	219	259	168	213
ENSMUSG00000068323.12|Slc4a5	12	12	40	34
ENSMUSG00000068328.9|Aup1	3384	3809	2870	3264
ENSMUSG00000068329.12|Htra2	1290	1361	1220	1228
ENSMUSG00000068335.6|Dok1	637	695	354	464
ENSMUSG00000068391.8|Chrac1	513	563	737	775
ENSMUSG00000068394.4|Cep152	338	354	348	318
ENSMUSG00000068396.9|Rpl34-ps1	147	126	141	148
ENSMUSG00000068452.8|Duox2	239	202	352	427
ENSMUSG00000068466.6|Gm5518	18	23	30	29
ENSMUSG00000068479.5|Mfap1a	1205	1394	1337	1471
ENSMUSG00000068523.12|Gng5	3853	4572	3827	3953
ENSMUSG00000068547.6|Clca4a	48	39	81	83
ENSMUSG00000068566.12|Myadm	4563	4724	5389	5986
ENSMUSG00000068580.11|Zfyve19	459	468	398	459
ENSMUSG00000068587.9|Mgam	45	36	169	211
ENSMUSG00000068604.4|Gm8225	20	30	27	26
ENSMUSG00000068663.14|Clec16a	442	484	475	499
ENSMUSG00000068699.12|Flnc	5522	5542	1295	1281
ENSMUSG00000068706.3|Gm10250	55	46	64	60
ENSMUSG00000068732.5|Tmem167b	1808	2073	1555	1658
ENSMUSG00000068739.13|Sars	12632	12999	10014	10553
ENSMUSG00000068740.13|Celsr2	187	199	207	222
ENSMUSG00000068742.11|Cry2	472	467	456	473
ENSMUSG00000068744.12|Psrc1	97	131	77	142
ENSMUSG00000068747.14|Sort1	488	488	700	772
ENSMUSG00000068749.9|Psma5	2675	2937	3256	3445
ENSMUSG00000068758.8|Il3ra	339	353	267	279
ENSMUSG00000068798.10|Rap1a	1934	2272	1850	2025
ENSMUSG00000068823.10|Csde1	12425	14354	11016	11886
ENSMUSG00000068854.7|Hist2h2be	85	98	63	86
ENSMUSG00000068856.3|Sf3b4	3387	3600	4376	4482
ENSMUSG00000068874.13|Selenbp1	206	187	247	383
ENSMUSG00000068876.14|Cgn	1824	2035	2595	2857
ENSMUSG00000068882.13|Ssb	3746	4360	3562	3988
ENSMUSG00000068893.5|Sprr2a2	81	92	434	526
ENSMUSG00000068917.12|Clk2	1148	1371	1069	1158
ENSMUSG00000068921.14|Dap3	2084	2165	2043	2382
ENSMUSG00000068922.14|Msto1	624	697	473	605
ENSMUSG00000068923.14|Syt11	278	281	523	613
ENSMUSG00000068959.6|Zfp619	54	55	33	33
ENSMUSG00000068966.10|Zbtb34	336	397	279	287
ENSMUSG00000069008.3|Gm5537	403	56	0	200
ENSMUSG00000069014.4|Gm5641	561	608	546	764
ENSMUSG00000069020.9|Urm1	751	782	719	810
ENSMUSG00000069089.8|Cdk7	775	864	839	891
ENSMUSG00000069094.12|Pde7a	692	852	691	738
ENSMUSG00000069114.8|Zbtb10	410	470	367	344
ENSMUSG00000069117.4|Gm10260	1037	1030	619	762
ENSMUSG00000069135.11|Fgfr1op	1744	2086	1835	1897
ENSMUSG00000069171.14|Nr2f1	179	172	141	154
ENSMUSG00000069184.4|Zfp72	102	129	85	79
ENSMUSG00000069188.5|Gm13192	78	58	52	73
ENSMUSG00000069206.14|Zfp874a	201	247	183	226
ENSMUSG00000069208.9|Zfp825	228	271	231	247
ENSMUSG00000069237.8|Fam8a1	2051	2376	1879	2146
ENSMUSG00000069255.13|Dusp22	52	61	23	41
ENSMUSG00000069259.10|Prl6a1	77	76	26	21
ENSMUSG00000069379.3|Gm4950	15	27	24	30
ENSMUSG00000069495.12|Epc2	1359	1581	1506	1688
ENSMUSG00000069520.6|Tmem19	415	445	327	443
ENSMUSG00000069539.11|Scyl2	2305	2746	2311	2460
ENSMUSG00000069565.12|Dazap1	1222	1697	976	956
ENSMUSG00000069601.14|Ank3	382	438	349	392
ENSMUSG00000069622.4|Gm10273	71	83	66	81
ENSMUSG00000069631.14|Strada	251	266	208	230
ENSMUSG00000069633.12|Pex11g	153	177	142	162
ENSMUSG00000069662.5|Marcks	2751	3367	2781	2832
ENSMUSG00000069678.10|Pcgf1	151	170	135	171
ENSMUSG00000069682.6|Gm10275	891	948	860	1119
