© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
CAT	0.169	enzyme	 	 	5.51E-03	AGT,CLCA1,SERPINE1	44 (11)
MYB	 	transcription regulator	 	-0.618	5.61E-03	IGFBP3,MMP3,Ppbp,SNAI2,SOCS2	 
OGA	-0.032	enzyme	 	-1.890	5.70E-03	CADPS,CALCRL,GPT2,IGFBP3,PLD4,SERPINE2,SLAMF9,SOCS2	 
GLIS2	0.128	transcription regulator	 	 	5.78E-03	SERPINE1,SNAI2	 
PARG	-0.215	enzyme	 	 	5.78E-03	GDF15,SOCS2	 
helenalin	 	chemical - endogenous non-mammalian	 	 	5.78E-03	ATF4,IL19	 
glucosamine	 	chemical - endogenous mammalian	 	 	5.79E-03	AGT,HAS2,MMP3	51 (18)
S100A8	-0.828	other	 	-1.067	6.02E-03	AREG,CDH3,CPM,GJB2,MMP3	 
BRCA1	0.165	transcription regulator	 	0.157	6.02E-03	AREG,CDH3,GDF15,SERPINE2,SNAI2	34 (7)
TRPS1	-0.193	transcription regulator	 	 	6.07E-03	GPR141,SERPINE1,SNAI2	 
mir-24	 	microRNA	 	 	6.07E-03	SERPINE1,SNAI2,TRIB3	 
TGFB3	0.309	growth factor	 	-1.958	6.17E-03	MMP3,SERPINE1,SERPINE2,SNAI2	44 (16)
1810019D21Rik	-0.083	other	 	 	6.37E-03	AREG,Ppbp,SNAI2	 
9-hydroxy-(S)-10,12-octadecadienoic acid	 	chemical - endogenous mammalian	 	 	6.38E-03	SERPINE1	 
Has	 	group	 	 	6.38E-03	CCN4	 
Ggt	 	group	 	 	6.38E-03	SLC7A5	 
eIF2B	 	complex	 	 	6.38E-03	ATF4	 
SHIP	 	group	 	 	6.38E-03	Klra2	 
HAS2-AS1	 	other	 	 	6.38E-03	HAS2	 
WTIP	0.203	transcription regulator	 	 	6.38E-03	AREG	 
FSIP1	 	other	 	 	6.38E-03	SNAI2	 
LINC00261	 	other	 	 	6.38E-03	SNAI2	 
OPCML	 	other	 	 	6.38E-03	SNAI2	 
ADTRP	 	enzyme	 	 	6.38E-03	TFPI	 
TBX18	 	transcription regulator	 	 	6.38E-03	SNAI2	 
GSE1	0.026	other	 	 	6.38E-03	SLC7A5	 
HDAC class I inhibitors	 	chemical drug	 	 	6.38E-03	SNAI2	 
GPX6	 	enzyme	 	 	6.38E-03	PPP1R1B	 
Pp1c	 	group	 	 	6.38E-03	RBP2	 
black cohosh extract	 	chemical drug	 	 	6.38E-03	SERPINE1	 
EIF3I	0.058	translation regulator	 	 	6.38E-03	SERPINE1	 
PRCC	0.003	other	 	 	6.38E-03	SERPINE1	 
DYNLRB1	0.217	other	 	 	6.38E-03	SERPINE1	 
EAF1	-0.294	transcription regulator	 	 	6.38E-03	WNT4	 
PSMA1	-0.114	peptidase	 	 	6.38E-03	GSTP1	 
TLL1	 	peptidase	 	 	6.38E-03	IGFBP3	 
PDGF-Rβ dimer	 	complex	 	 	6.38E-03	SNAI2	 
NOXA1	0.126	other	 	 	6.38E-03	NOX1	 
CORO2A	0.136	other	 	 	6.38E-03	DIO1	 
RPN2	0.080	enzyme	 	 	6.38E-03	GSTP1	 
GDF10	 	growth factor	 	 	6.38E-03	SERPINE1	 
alpha-cyano-4-hydroxycinnamate	 	chemical reagent	 	 	6.38E-03	AGT	 
remikiren	 	chemical drug	 	 	6.38E-03	AGT	 
tetrabenazine	 	chemical drug	 	 	6.38E-03	PPP1R1B	 
sodium 2-((6Z,15Z)-20-hydroxyicosa-6,15-dienamido)acetate	 	chemical reagent	 	 	6.38E-03	AGT	 
LINC02599	 	other	 	 	6.38E-03	SNAI2	 
STAT3 inhibitor IX	 	chemical reagent	 	 	6.38E-03	HAS2	 
chymostatin	 	chemical - protease inhibitor	 	 	6.38E-03	AGT	 
carbon	 	chemical reagent	 	 	6.38E-03	GSTP1	 
LDL	 	complex	 	-1.295	6.44E-03	CYP2C9,HAS2,IGFBP3,MMP3,NOX1,SERPINE1	46 (16)
Rp-cAMPS	 	chemical - kinase inhibitor	 	 	6.44E-03	CYP2C9,MMP3	24 (7)
CBX7	0.124	other	 	 	6.44E-03	AREG,GDF15	 
CDK5R1	 	kinase	 	 	6.44E-03	PPP1R1B,SERPINE1	 
ACTN4	0.020	transcription regulator	 	 	6.44E-03	MMP3,SERPINE1	33 (5)
15-deoxy-delta-12,14 -PGJ 2	 	chemical - endogenous mammalian	Inhibited	-2.228	6.59E-03	GDF15,GSTP1,MMP3,NOX1,SERPINE1	50 (17)
diphenyleneiodonium	 	chemical reagent	 	 	6.67E-03	AGT,NOX1,SERPINE1	56 (16)
ursolic acid	 	chemical drug	 	 	6.67E-03	GDF15,MMP3,SLC6A9	43 (11)
thyroid hormone	 	chemical - endogenous mammalian	 	 	6.74E-03	AGT,ALDOB,ATF4,IGFBP3,SERPINE2	 
GH1	 	growth factor	 	 	6.75E-03	ATF4,CYP2C9,IGFBP3,SOCS2	21 (4)
DDIT3	-0.663	transcription regulator	 	0.152	6.75E-03	ATF4,DDR2,SNAI2,TRIB3	 
cholecalciferol	 	chemical - endogenous mammalian	 	-1.131	6.95E-03	IGFBP3,PLD4,SERPINB8,SERPINE1	31 (6)
NFE2L2	-0.150	transcription regulator	 	0.134	6.99E-03	AGT,ATF4,CYP4A22,GPX2,GSTP1,SERPINE1,SLC6A9,SNAI2	 
GDF15	-1.540	growth factor	 	 	7.12E-03	GDF15,SERPINE1	 
HOXD3	 	transcription regulator	 	 	7.12E-03	IGFBP3,SERPINE1	 
1-methyl-4-phenylpyridinium	 	chemical toxicant	 	 	7.12E-03	ATF4,TRIB3	 
NRIP1	0.024	transcription regulator	 	 	7.31E-03	AREG,HAS2,OTUB2	 
CSHL1	 	growth factor	 	 	7.31E-03	Csn1s1,CYP2C9,SOCS2	10 (3)
PDX1	0.210	transcription regulator	 	-1.206	7.36E-03	ALDOB,ATF4,CKMT1A/CKMT1B,IGFBP3,TRIB3	 
KLF4	-0.122	transcription regulator	 	1.588	7.69E-03	GJB2,KRT13,LGR5,SERPINE1,SNAI2,Sprr2a1/Sprr2a2	24 (4)
CAR ligand-CAR-Retinoic acid-RXRα	 	complex	 	 	7.84E-03	CYP2C9,SLCO1A2	 
LGR5	1.233	transmembrane receptor	 	 	7.84E-03	AQP9,LECT2	 
MED12	0.205	transcription regulator	 	 	7.84E-03	GDF15,TFPI	 
SIM2	-0.229	transcription regulator	 	 	7.84E-03	MMP3,SNAI2	 
FBN1	 	other	 	 	7.84E-03	MMP3,SERPINE1	39 (7)
IDO1	 	enzyme	 	 	7.84E-03	SLC6A9,SLC7A5	 
SCX	0.337	transcription regulator	 	 	7.84E-03	MMP3,SNAI2	 
fluconazole	 	chemical drug	 	 	7.84E-03	Cyp2c40 (includes others),CYP2C9	 
BAY K8644	 	chemical reagent	 	 	7.84E-03	CYP2C9,KCNJ11	 
PRKCA	-0.003	kinase	 	 	8.03E-03	GDF15,IGFBP3,MMP3,SERPINE1	46 (17)
TSC1	0.209	other	 	 	8.32E-03	GPX2,LECT2,LGR5	 
25-hydroxycholesterol	 	chemical reagent	 	 	8.32E-03	ATF4,CHAC1,TRIB3	 
CEBPA	0.450	transcription regulator	 	-0.972	8.48E-03	AGT,ATF4,CYP2C9,GSTP1,HAS2,IGFBP3,SERPINE1,STEAP4	 
FGF1	0.446	growth factor	 	 	8.49E-03	CCN4,GSTP1,HAS2,SNAI2	51 (16)
PLA2G6	0.266	enzyme	 	 	8.59E-03	ATF4,NOX1	 
HSP90AB1	0.053	enzyme	 	 	8.59E-03	KCNJ11,SNAI2	 
EGLN1	-0.255	enzyme	 	 	8.68E-03	AREG,MMP3,Ppbp	 
CG	 	complex	 	-1.252	9.08E-03	AREG,BCAT1,FAM3D,GJB2,HAS2,IGFBP3,WNT4	64 (17)
TGFBR2	-0.038	kinase	 	0.085	9.27E-03	ATF4,GJB2,IHH,MMP3,SERPINE1	55 (14)
PDGF-DD	 	complex	 	 	9.37E-03	PGF,UNC5C	 
NADPH oxidase	 	complex	 	 	9.37E-03	NOX1,SERPINE1	44 (12)
FAM3B	 	cytokine	 	 	9.37E-03	CCN4,IGFBP3	 
BMP15	 	growth factor	 	 	9.37E-03	AREG,HAS2	 
silibinin	 	chemical drug	 	 	9.42E-03	IGFBP3,MMP3,SNAI2	50 (17)
Raf	 	group	 	 	9.80E-03	AREG,GDF15,HAS2	42 (8)
DOCK8	-0.091	other	 	 	9.80E-03	ARID5A,IL15RA,U90926	 
FANCC	0.288	other	 	 	9.80E-03	AQP9,GDF15,IGFBP3	 
MYRF	0.110	transcription regulator	 	 	9.80E-03	Apela,AQP9,GDF15	 
ITGB3	-0.036	transmembrane receptor	 	 	9.80E-03	HAS2,SERPINE1,SNAI2	46 (15)
KDM1A	-0.078	enzyme	 	1.000	9.84E-03	AGT,DDR2,LGR5,SERPINE1,SOCS2	 
WNT1	 	cytokine	 	-1.991	9.97E-03	CCN4,MMP3,SERPINE1,SERPINE2	43 (11)
FGFR2	 	kinase	 	 	9.97E-03	CCN4,GPT2,IHH,LGR5	 
wortmannin	 	chemical - kinase inhibitor	 	0.555	1.00E-02	AGT,GSTP1,HAS2,SERPINE1,SOCS2	 
daporinad	 	chemical drug	 	 	1.02E-02	SERPINE1,SOX11	 
CLDN6	-0.387	other	 	 	1.02E-02	ATF4,Sprr2a1/Sprr2a2	 
UBE3A	-0.209	enzyme	 	 	1.02E-02	SERPINE1,WNT4	 
FOXC1	-0.065	transcription regulator	 	 	1.02E-02	SERPINE1,SNAI2	 
Mt2	-0.374	other	 	 	1.02E-02	GSTP1,SERPINE1	 
ERBB2	0.351	kinase	 	-1.019	1.02E-02	AREG,ATF4,CDH3,HAS2,IGFBP3,MAPK13,MMP3,PIK3CD,SERPINE1,SNAI2,SOCS2	 
SB203580	 	chemical - kinase inhibitor	 	1.273	1.03E-02	AGT,AQP9,FYB1,GSTP1,HAS2,IGFBP3,MMP3,SERPINE1	 
WNT3A	 	cytokine	 	-0.155	1.04E-02	ADM2,CCN4,CTH,HAS2,LGR5,TRIB3	 
SASH1	0.274	other	 	 	1.06E-02	ARID5A,IL15RA,U90926	 
MAP2K3	0.155	kinase	 	 	1.06E-02	GSTP1,MMP3,SERPINE1	 
estrogen	 	chemical drug	 	-0.896	1.07E-02	AGT,AREG,GJB2,IHH,SERPINE2,Sprr2a1/Sprr2a2	 
dibutyl phthalate	 	chemical toxicant	 	 	1.10E-02	CYP2C9,SERPINE1	 
mir-124	 	microRNA	 	 	1.10E-02	KCNJ11,SNAI2	 
Saa3	0.027	other	 	 	1.10E-02	MMP3,WNT4	 
BMP4	-0.359	growth factor	 	-1.091	1.11E-02	FOXN1,GABRP,MMP3,PGF,SNAI2	 
BMP2	0.633	growth factor	 	1.387	1.11E-02	Gkn3,HAS2,IHH,MELTF,WNT4	 
tetrachlorodibenzodioxin	 	chemical toxicant	 	-1.225	1.12E-02	ATF4,BCAT1,Cd52,SERPINE1,SOCS2,Sprr2a1/Sprr2a2,STEAP4	 
IL6	0.076	cytokine	 	-0.996	1.18E-02	AGT,AREG,CYP2C9,DIO1,IGFBP3,MMP3,PGF,SERPINE1,SOCS2,STEAP4,WNT4	 
RNF31	-0.085	enzyme	 	 	1.19E-02	AREG,IL15RA,IL19	 
INHBB	 	growth factor	 	 	1.19E-02	MMP3,SERPINE1	 
methyl-beta-cyclodextrin	 	chemical drug	 	 	1.19E-02	HAS2,SERPINE1	 
ERN1	-0.112	kinase	 	 	1.25E-02	ATF4,LGR5,MPZL2,PADI4	 
SP3	-0.072	transcription regulator	 	 	1.26E-02	GDF15,HAS2,IGFBP3,PADI4,SERPINE1	 
12 lipoxygenase	 	group	 	 	1.27E-02	NOX1	 
IL17RC	0.388	transmembrane receptor	 	 	1.27E-02	STEAP4	 
L3MBTL1	 	other	 	 	1.27E-02	MMP3	 
PHOSPHO1	-0.325	enzyme	 	 	1.27E-02	PSPH	 
LEFTY2	 	growth factor	 	 	1.27E-02	MMP3	 
HLTF	-0.084	transcription regulator	 	 	1.27E-02	SERPINE1	 
CALU	-0.265	other	 	 	1.27E-02	GDF15	 
PRSS2	 	peptidase	 	 	1.27E-02	MMP3	 
BAZ1A	-0.046	other	 	 	1.27E-02	IGFBP3	 
NOXO1	0.638	other	 	 	1.27E-02	NOX1	 
Hnrpfl	 	other	 	 	1.27E-02	AGT	 
ING2	-0.086	transcription regulator	 	 	1.27E-02	SERPINE1	 
IMPACT	-0.018	other	 	 	1.27E-02	ATF4	 
capmatinib	 	chemical drug	 	 	1.27E-02	AREG	 
COL11A1	 	other	 	 	1.27E-02	DDR2	 
nitrosonifedipine	 	chemical reagent	 	 	1.27E-02	AGT	 
CRTAP	0.133	other	 	 	1.27E-02	SERPINE1	 
RNF11	-0.232	enzyme	 	 	1.27E-02	SERPINE1	 
ZFYVE16	-0.015	other	 	 	1.27E-02	SERPINE1	 
iCRT5	 	chemical reagent	 	 	1.27E-02	CCN4	 
iCRT3	 	chemical reagent	 	 	1.27E-02	CCN4	 
buformin	 	chemical drug	 	 	1.27E-02	ATF4	 
sarpogrelate	 	chemical drug	 	 	1.27E-02	SERPINE1	 
methiothepin	 	chemical drug	 	 	1.27E-02	SERPINE1	 
sibutramine	 	chemical drug	 	 	1.27E-02	SERPINE1	 
imidapril	 	chemical drug	 	 	1.27E-02	AGT	 
(S)-2-((6Z,15Z)-20- hydroxyicosa-6,15-dienamido)succinate	 	chemical reagent	 	 	1.27E-02	AGT	 
cation	 	chemical - other	 	 	1.27E-02	GSTP1	 
lanreotide	 	biologic drug	 	 	1.27E-02	IGFBP3	 
indolo(3,2-b)carbazole	 	chemical reagent	 	 	1.27E-02	SOCS2	 
tibolone	 	chemical drug	 	 	1.27E-02	SERPINE1	 
ZNF217	0.048	transcription regulator	 	 	1.27E-02	IGFBP3,MPZL2,SOCS2	 
nifedipine	 	chemical drug	 	 	1.27E-02	AGT,CYP2C9,KCNJ11	 
IGF1	 	growth factor	 	0.696	1.27E-02	IGFBP3,IHH,MMP3,NOX1,PPP1R1B,SERPINE1,SNAI2,WNT4	 
UTP	 	chemical - endogenous mammalian	 	 	1.28E-02	HAS2,SERPINE1	 
MAC	 	complex	 	 	1.28E-02	AREG,MMP3	 
BGN	-0.231	other	 	 	1.28E-02	CCN4,SERPINE1	 
NPR1	-0.240	enzyme	 	 	1.28E-02	AGT,KCNJ11	 
PLK4	-0.204	kinase	 	 	1.28E-02	IL15RA,MMP3	 
dinoprost	 	chemical - endogenous mammalian	 	 	1.32E-02	GSTP1,HMGCS2,NOX1	 
GNA12	0.062	enzyme	 	 	1.32E-02	DDR2,GSTP1,PIK3CD	 
phytohemagglutinin	 	chemical drug	 	0.000	1.35E-02	AGT,CPM,IL15RA,KRT13,PGF,TFPI	 
NCF1	 	enzyme	 	 	1.37E-02	HAS2,SERPINE1	 
collagen type i (family)	 	group	 	 	1.37E-02	CLRN3,SERPINE1	 
ELOVL5	-0.184	enzyme	 	 	1.37E-02	HMGCS2,TRIB3	 
SFN	0.185	other	 	 	1.37E-02	PPP1R1B,SNAI2	 
PPARG	-0.198	ligand-dependent nuclear receptor	 	0.317	1.39E-02	AGT,GDF15,HMGCS2,IGFBP3,IHH,MUC13,SERPINE1,TRIB3	 
NR3C1	-0.321	ligand-dependent nuclear receptor	 	0.832	1.40E-02	AGT,CYP2C9,GSTP1,HMGCS2,IL15RA,PIGR,PIK3CD,SERPINE1,SNAI2,TRIB3	 
ACOX1	0.011	enzyme	 	1.000	1.40E-02	C4bp,DIO1,GSTP1,TRIB3	 
MAP3K7	 	kinase	 	 	1.41E-02	IL19,MMP3,SERPINE1	 
tretinoin	 	chemical - endogenous mammalian	 	-0.336	1.45E-02	AGT,AQP9,AREG,ATF4,CYP2C9,GDF15,GPX2,GSTP1,HAS2,HMGCS2,IGFBP3,MMP3,PADI4,PPP1R1B,RBP2,SERPINB8,SERPINE1,SERPINE2	 
ciglitazone	 	chemical drug	 	 	1.46E-02	AGT,NOX1,SERPINE1	 
R5020	 	chemical reagent	 	 	1.46E-02	AREG,PPP1R1B,RBP2	 
Mt1	-0.291	other	 	 	1.47E-02	GSTP1,SERPINE1	 
HOXA7	 	transcription regulator	 	 	1.47E-02	CALCRL,P2RX3	 
oltipraz	 	chemical drug	 	 	1.47E-02	AGT,GSTP1	 
PD 123319	 	chemical drug	 	 	1.47E-02	NOX1,SERPINE1	 
methylnitronitrosoguanidine	 	chemical toxicant	 	 	1.47E-02	GDF15,SERPINE1	 
chrysotile asbestos	 	chemical toxicant	 	 	1.47E-02	CLCA1,MMP3	 
HNRNPA2B1	-0.082	other	 	 	1.47E-02	GDF15,MUC13,SNAI2,WNT4	 
STAT3	0.145	transcription regulator	 	-0.557	1.48E-02	AGT,AREG,HAS2,IHH,MMP3,NOX1,SERPINE1,SERPINE2,SNAI2	 
Histone h4	 	group	 	 	1.50E-02	AGT,DIO1,GSTP1,HAS2	 
RBPJ	-0.257	transcription regulator	 	 	1.50E-02	FOXN1,HAS2,MMP3,PGF	 
IL10RA	 	transmembrane receptor	 	0.816	1.51E-02	ACSM3,ALDOB,CTH,Cyp2c40 (includes others),IL15RA,TINAG	 
genistein	 	chemical drug	 	-0.072	1.54E-02	ATF4,DIO1,GDF15,GJB2,MMP3,NOX1,SERPINE1	 
ARRB1	0.209	other	 	 	1.56E-02	MMP3,SERPINE1	 
CDK5	0.014	kinase	 	 	1.56E-02	IGFBP3,PPP1R1B	 
TP73	 	transcription regulator	 	-0.688	1.57E-02	CTH,IGFBP3,MPZL2,SERPINE1,SERPINE2,SNAI2,WNT4	 
SNCA	 	enzyme	 	-1.706	1.58E-02	AGT,KCNJ11,MEGF11,MMP3,SERPINE1,TRIB3	 
Mek	 	group	 	 	1.59E-02	DDR2,GDF15,HAS2,NOX1,SERPINE1	 
prostaglandin E2	 	chemical - endogenous mammalian	Inhibited	-2.142	1.65E-02	AREG,HAS2,IL15RA,MMP3,PGF,SOCS2	 
FBXO32	0.442	enzyme	 	 	1.66E-02	CKMT1A/CKMT1B,MMP3,PYCR1	 
3,4,5,3',4'-pentachlorobiphenyl	 	chemical toxicant	 	 	1.66E-02	GSTP1,IGFBP3,SOCS2	 
Hmgn3	0.255	other	 	 	1.67E-02	KCNJ11,TRIB3	 
butylated hydroxyanisol	 	chemical toxicant	 	 	1.67E-02	GSTP1,NOX1	 
SNAI1	 	transcription regulator	 	-1.067	1.71E-02	GDF15,SERPINE1,SLC28A3,SNAI2	 
histamine	 	chemical - endogenous mammalian	 	 	1.72E-02	AREG,CLCA1,GDF15	 
WT1	 	transcription regulator	 	-1.243	1.76E-02	AREG,MMP3,SERPINE1,SNAI2,WNT4	 
ROR1	 	kinase	 	 	1.77E-02	SERPINE1,SNAI2	 
deferasirox	 	chemical drug	 	 	1.77E-02	PLD4,SERPINB8	 
NOSTRIN	-0.036	transcription regulator	 	 	1.77E-02	PGF,TFPI	 
CCN1	-0.692	other	 	 	1.77E-02	MMP3,NOX1,SERPINE1	 
ITGAV	-0.129	transmembrane receptor	 	 	1.88E-02	HAS2,SERPINE1	 
ARHGAP31	 	other	 	 	1.88E-02	GDF15,MMP3	 
TIMP1	-0.062	cytokine	 	 	1.88E-02	IGFBP3,MMP3	 
TGFBR1	-0.313	kinase	 	 	1.88E-02	HAS2,SERPINE1,SNAI2	 
EGF	-0.522	growth factor	Inhibited	-2.342	1.90E-02	AREG,GSTP1,HAS2,IGFBP3,MMP3,PGF,SERPINE1,SNAI2	 
istradefylline	 	chemical drug	 	 	1.90E-02	PPP1R1B	 
Corticosteroid-GCR	 	complex	 	 	1.90E-02	AGT	 
ZNF451	-0.025	enzyme	 	 	1.90E-02	SERPINE1	 
BCS1L	0.080	other	 	 	1.90E-02	ATF4	 
HDGF	-0.178	growth factor	 	 	1.90E-02	SERPINE1	 
defibrotide	 	biologic drug	 	 	1.90E-02	SERPINE1	 
CSNK1E	-0.074	kinase	 	 	1.90E-02	SERPINE1	 
riociguat	 	chemical drug	 	 	1.90E-02	SERPINE1	 
EIF2B1	-0.024	translation regulator	 	 	1.90E-02	ATF4	 
STK16	-0.026	kinase	 	 	1.90E-02	SERPINE1	 
STRAP	-0.095	other	 	 	1.90E-02	SERPINE1	 
BMP1	-0.023	peptidase	 	 	1.90E-02	IGFBP3	 
Ank2	-0.998	other	 	 	1.90E-02	KCNJ11	 
RNF8	0.058	enzyme	 	 	1.90E-02	RBP2	 
Csn1s1	2.431	other	 	 	1.90E-02	CSN3	 
glycine ethyl ester	 	chemical reagent	 	 	1.90E-02	NOX1	 
STAT3 inhibitor XIII	 	chemical drug	 	 	1.90E-02	SERPINE1	 
iCRT14	 	chemical reagent	 	 	1.90E-02	CCN4	 
basic calcium phosphate crystal	 	chemical - endogenous mammalian	 	 	1.90E-02	MMP3	 
mecamylamine	 	chemical drug	 	 	1.90E-02	KCNJ11	 
filipin	 	chemical - endogenous non-mammalian	 	 	1.90E-02	SERPINE1	 
trimethyloxamine	 	chemical - endogenous non-mammalian	 	 	1.90E-02	ATF4	 
avasimibe	 	chemical drug	 	 	1.90E-02	CYP2C9	 
isradipine	 	chemical drug	 	 	1.90E-02	CYP2C9	 
MitoBloCK-6	 	chemical drug	 	 	1.90E-02	PSPH	 
lead nitrate	 	chemical toxicant	 	 	1.90E-02	GSTP1	 
5-phenylvaleric acid	 	chemical reagent	 	 	1.90E-02	ATF4	 
latanoprost	 	chemical drug	 	 	1.90E-02	MMP3	 
D,L-propargylglycine	 	chemical reagent	 	 	1.90E-02	AGT	 
INS	 	other	 	-0.233	1.90E-02	AGT,AQP9,IGFBP3,TRIB3	 
tert-butyl-hydroquinone	 	chemical reagent	 	 	1.94E-02	GPX2,GSTP1,SERPINE1	 
CEBPB	-0.093	transcription regulator	Inhibited	-2.183	1.97E-02	AGT,CDH3,HAS2,IGFBP3,MMP3,SERPINE1,TRIB3	 
PRDM16	 	transcription regulator	 	 	1.98E-02	AGT,SERPINE1	 
PLAT	-0.363	peptidase	 	 	1.98E-02	MMP3,SERPINE1	 
Ige	 	complex	 	0.447	1.99E-02	AREG,BCAT1,GDF15,NOX1,PIGZ,PIK3CD	 
RASSF1	-0.193	other	 	 	2.00E-02	AREG,GDF15,IGFBP3	 
RHOA	-0.113	enzyme	 	 	2.00E-02	AGT,GDF15,SNAI2	 
TLR9	 	transmembrane receptor	 	0.447	2.03E-02	CPM,Csn1s1,CTH,IL19,SERPINE1	 
indomethacin	 	chemical drug	 	 	2.03E-02	GDF15,GPX2,HAS2,Ppbp,SLC7A5	 
SAMSN1	 	other	 	 	2.05E-02	ARID5A,IL15RA,U90926	 
EIF4E	-0.234	translation regulator	 	 	2.07E-02	GPX2,IL15RA,MMP3,PGF	 
SETD2	-0.075	enzyme	 	 	2.10E-02	ANGPTL6,SERPINE1	 
AXL	-0.120	kinase	 	 	2.10E-02	MMP3,SNAI2	 
SLC16A2	0.312	transporter	 	 	2.10E-02	DIO1,SLC7A5	 
nitrofurantoin	 	chemical drug	 	0.152	2.19E-02	GPX2,GSTP1,HMGCS2,IGFBP3	 
PLP1	0.479	other	 	 	2.21E-02	ATF4,MMP3	 
EZR	-0.282	other	 	 	2.21E-02	ATF4,TRIB3	 
ACVRL1	 	kinase	 	 	2.21E-02	GDF15,SERPINE1	 
PF4	0.467	cytokine	 	 	2.21E-02	CPM,IL19	 
Hdac	 	group	 	1.091	2.23E-02	AREG,IGFBP3,PGF,WNT4	 
miR-125b-5p (and other miRNAs w/seed CCCUGAG)	 	mature microRNA	 	 	2.24E-02	GPR160,IGFBP3,PIGR	 
GPD1	0.470	enzyme	 	 	2.24E-02	CLCA1,CYP4A22,SERPINE2	 
poly rI:rC-RNA	 	biologic drug	 	-0.539	2.27E-02	ARID5A,ATF4,DIO1,GDF15,IL15RA,MMP3,PIGR,SNAI2	 
SMAD2	-0.178	transcription regulator	 	 	2.30E-02	HAS2,SERPINE1,SNAI2	 
STAT	 	group	 	 	2.33E-02	AGT,SOCS2	 
KDM3A	0.108	transcription regulator	 	 	2.33E-02	GDF15,SERPINE1	 
MSX2	 	transcription regulator	 	 	2.33E-02	FOXN1,IHH	 
Yaf2	-0.283	transcription regulator	 	 	2.33E-02	CSN3,SOX11	 
SLC25A13	-0.076	transporter	 	 	2.36E-02	CLCA1,CYP4A22,SERPINE2	 
CD36	 	transmembrane receptor	 	 	2.36E-02	AREG,MMP3,SERPINE1	 
IGF2	 	growth factor	 	 	2.37E-02	AREG,IGFBP3,MMP3,SERPINE1	 
PTH	 	other	 	0.651	2.37E-02	AREG,IGFBP3,PPP1R1B,WNT4	 
pioglitazone	 	chemical drug	 	0.152	2.41E-02	ATF4,HAS2,NOX1,SERPINE1	 
NCOR1	0.139	transcription regulator	 	 	2.43E-02	DIO1,HAS2,IGFBP3	 
SMAD3	-0.128	transcription regulator	Inhibited	-2.186	2.43E-02	AREG,ATF4,HAS2,SERPINE1,SNAI2	 
MBTD1	0.034	other	 	 	2.45E-02	AQP9,GAL3ST2	 
SUMO3	0.116	other	 	 	2.45E-02	AGT,CTH	 
APR-246	 	chemical drug	 	 	2.45E-02	CDH3,SLC7A5	 
thalidomide	 	chemical drug	 	 	2.45E-02	GDF15,SERPINE1	 
IL17A	 	cytokine	 	-0.090	2.47E-02	AREG,IL19,MMP3,PGF,STEAP4	 
fluticasone propionate	 	chemical drug	 	-1.000	2.50E-02	AQP9,GJB2,SERPINE1,TFPI	 
13(S)-hydroxyoctadecadienoic acid	 	chemical - endogenous mammalian	 	 	2.53E-02	SERPINE1	 
Rsk	 	group	 	 	2.53E-02	ATF4	 
RAR ligand-RARα-Retinoic acid-RXRα	 	complex	 	 	2.53E-02	SLCO1A2	 
TR-RXR	 	complex	 	 	2.53E-02	DIO1	 
GPR65	 	G-protein coupled receptor	 	 	2.53E-02	MMP3	 
ATOH7	 	other	 	 	2.53E-02	SOX11	 
ENTPD2	0.235	enzyme	 	 	2.53E-02	SERPINE1	 
GJB6	 	transporter	 	 	2.53E-02	GJB2	 
WNT9B	 	other	 	 	2.53E-02	WNT4	 
VLDL	 	complex	 	 	2.53E-02	SERPINE1	 
TAOK2	0.209	kinase	 	 	2.53E-02	GSTP1	 
PTPRA	0.097	phosphatase	 	 	2.53E-02	MMP3	 
miR-379-5p (and other miRNAs w/seed GGUAGAC)	 	mature microRNA	 	 	2.53E-02	IHH	 
HAS3	-0.375	enzyme	 	 	2.53E-02	HAS2	 
TCF20	0.013	transcription regulator	 	 	2.53E-02	MMP3	 
P2RX4	0.614	ion channel	 	 	2.53E-02	MMP3	 
GIPC1	-0.006	other	 	 	2.53E-02	SERPINE1	 
GGT1	 	enzyme	 	 	2.53E-02	CLCA1	 
COL1A2	 	other	 	 	2.53E-02	SERPINE1	 
Mt3	-0.336	other	 	 	2.53E-02	GSTP1	 
SERPINH1	-0.120	other	 	 	2.53E-02	SERPINE1	 
WTAP	-0.048	other	 	 	2.53E-02	AREG	 
cyclooxygenase inhibitor	 	chemical drug	 	 	2.53E-02	GDF15	 
phenformin	 	chemical drug	 	 	2.53E-02	ATF4	 
trigonelline	 	chemical - endogenous mammalian	 	 	2.53E-02	AGT	 
iodixanol	 	chemical drug	 	 	2.53E-02	SERPINE1	 
pyocyanin	 	chemical reagent	 	 	2.53E-02	NOX1	 
cyclosporin A	 	biologic drug	 	-0.215	2.56E-02	AGT,BCAT1,CYP2C9,GPX2,IL19,MMP3,SERPINE1	 
pregnenolone carbonitrile	 	chemical drug	 	 	2.57E-02	Ces2a,HMGCS2	 
TFAP4	-0.037	transcription regulator	 	 	2.57E-02	GDF15,LGR5	 
